code,name,total_return,trade_count,max_drawdown,sharpe_ratio
300127,银河磁体,3.04128205815132,19.5,0.3257041006683822,0.8279175517189895
300224,正海磁材,3.0330263894942986,8.5,0.2607913669064747,0.9755635037657991
2990,盛视科技,3.0317718954729544,6.0,0.2485463435913449,1.3386696616025078
3004,声迅股份,3.026171343734194,19.0,0.334351693064142,0.9735509819981384
300720,海川智能,3.0139620404171774,6.5,0.219241443108233,1.0436152157497205
301312,智立方,3.011124206111234,13.0,0.3938848920863311,1.0296327813299588
301038,深水规院,3.002214143399329,15.5,0.2967507253727314,1.0358520467289063
300902,国安达,3.0018635522146164,6.5,0.2506963788300835,1.1720796932849984
2546,新联电子,3.001268457011501,11.0,0.3148614609571793,1.0652526877816837
300713,英可瑞,3.001209770727125,22.0,0.3807269187798536,0.7912512888769959
2832,比音勒芬,2.997100553056788,8.5,0.3687840586587196,0.9765932582339458
600137,浪莎股份,2.978329025627014,17.0,0.3081084854156604,1.0303164093199153
2935,天奥电子,2.964297861462473,6.0,0.3709453313207843,1.1154850495546331
2207,*ST准油,2.944067999700437,12.0,0.3577365047321262,0.9534716783907208
2735,王子新材,2.924048793854572,8.5,0.2964527027027028,0.9839879818335552
837,秦川机床,2.919767149530686,8.5,0.2651356993736953,1.2725401345790996
2933,新兴装备,2.910037867644754,21.5,0.3317793807436189,0.8464280773593037
1217,华尔泰,2.898706332738985,10.5,0.2910815130736671,1.2369918322454572
301067,显盈科技,2.890546594554312,12.0,0.3174037510558815,0.971947335837992
600081,东风科技,2.888041115227906,10.5,0.2414700255102045,1.2609920217773705
600130,波导股份,2.885670777266893,8.0,0.2260061919504645,1.2071828988435669
300557,理工光科,2.8834213593171527,23.5,0.3225117116942556,0.8483331301898249
300838,浙江力诺,2.87467235855703,8.5,0.2651142304525167,1.0743228621630017
2792,通宇通讯,2.874049545051536,16.0,0.3578041262423145,0.8535120481250266
300882,万胜智能,2.8694812745726237,13.0,0.3783507777365502,0.919191616236818
301505,苏州规划,2.868399771893899,14.5,0.3112410830446112,1.4156063032325956
300621,维业股份,2.8620950962641394,14.5,0.39472854761666,0.8680728252677382
3031,中瓷电子,2.849075461305957,12.5,0.2809594055836195,1.0908289222212446
2635,安洁科技,2.843921790602832,12.0,0.2326098791149514,0.9349998904725032
2686,亿利达,2.8306437120805588,18.5,0.3973162166094355,0.8885738317239976
2809,红墙股份,2.8227054083314385,17.5,0.3131389048772018,0.8542725892561979
300827,上能电气,2.8027282885850933,3.5,0.1997439180537774,1.1927173305121757
300605,恒锋信息,2.801457759845446,18.5,0.3466974038458863,0.7788992259767996
300602,飞荣达,2.800574140092821,15.0,0.3913387298567797,0.8132430950192554
300583,赛托生物,2.7871209431721344,11.5,0.2052487416747162,0.9768532684088294
2888,惠威科技,2.7775737880614715,16.0,0.3512449424214131,0.8353803166121132
600173,卧龙新能,2.7740100340962166,9.0,0.2249350649350656,1.1012324788802996
2161,远 望 谷,2.773894586671085,9.0,0.2083341945885615,1.250499548494569
300182,捷成股份,2.76635551149582,9.0,0.1443988157769079,1.083770727141556
2988,豪美新材,2.7655033314575754,13.0,0.2916932938812849,1.0411667052873597
300939,秋田微,2.760047417452589,21.0,0.2983092584485968,0.9610616691389102
2846,英联股份,2.753773478055873,6.0,0.2281553398058253,1.1757461584621884
300453,三鑫医疗,2.752249393425355,13.5,0.2377477659074111,0.9322628027634426
1266,宏英智能,2.74379804967787,19.5,0.2944234931119501,1.1187265199566676
